,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasAdditionalAttributions,latitude,longitude,city,state,price,homeType,rentZestimate
4735,Non Owner Occupied,True,Sold,3.0,3.0,1684.0,Unknown Listed By,True,True,37.735313,-122.41594,San Francisco,CA,1850000.0,SINGLE_FAMILY,5600.0
4736,Non Owner Occupied,True,Sold,2.0,1.0,1025.0,Unknown Listed By,False,True,37.722874,-122.42611,San Francisco,CA,1068000.0,SINGLE_FAMILY,3800.0
4737,Non Owner Occupied,True,Sold,0.0,1.0,1200.0,Unknown Listed By,False,True,37.71957,-122.42965,San Francisco,CA,740000.0,SINGLE_FAMILY,2100.0
4738,Non Owner Occupied,True,Sold,3.0,3.0,2002.0,Unknown Listed By,False,True,37.750023,-122.43768,San Francisco,CA,3500000.0,SINGLE_FAMILY,6950.0
4739,Non Owner Occupied,True,Sold,4.0,5.0,2130.0,Unknown Listed By,True,True,37.733208,-122.48837,San Francisco,CA,2050000.0,SINGLE_FAMILY,5800.0
4740,Non Owner Occupied,True,Sold,3.0,2.0,1525.0,Unknown Listed By,False,True,37.757637,-122.42632,San Francisco,CA,1925000.0,CONDO,5400.0
4741,Non Owner Occupied,True,Sold,2.0,2.0,1577.0,Unknown Listed By,False,True,37.789856,-122.39524,San Francisco,CA,2900000.0,CONDO,9043.0
4742,Non Owner Occupied,True,Sold,2.0,2.0,1444.0,Unknown Listed By,False,True,37.74883,-122.42427,San Francisco,CA,1625000.0,CONDO,4999.0
4743,Non Owner Occupied,True,Sold,2.0,1.0,1110.0,Unknown Listed By,False,False,37.790974,-122.443054,San Francisco,CA,1350000.0,CONDO,4500.0
4744,Non Owner Occupied,True,Sold,2.0,1.0,1125.0,Unknown Listed By,False,True,37.757004,-122.5049,San Francisco,CA,1535000.0,SINGLE_FAMILY,3750.0
4745,Non Owner Occupied,True,Sold,3.0,2.0,1214.0,Unknown Listed By,True,True,37.752316,-122.49965,San Francisco,CA,1370000.0,SINGLE_FAMILY,4595.0
4746,Non Owner Occupied,True,Sold,4.0,3.0,1602.0,Unknown Listed By,False,True,37.74592,-122.4987,San Francisco,CA,1660000.0,SINGLE_FAMILY,5200.0
4747,Non Owner Occupied,True,Sold,3.0,2.0,1350.0,Unknown Listed By,False,True,37.740463,-122.46969,San Francisco,CA,1675000.0,SINGLE_FAMILY,4895.0
