,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasVideo,hasAdditionalAttributions,latitude,longitude,variableData.text,streetAddress,zipcode,city,state,homeType,rentZestimate,price,homeStatusForHDP
44,RecentChange,True,Sold,3.0,2.0,1280.0,RecentChange,True,False,True,42.29036,-71.11735,Sold 02/27/2024,267 Wachusett St,2130.0,Jamaica Plain,MA,SINGLE_FAMILY,3399.0,800000.0,RECENTLY_SOLD
45,RecentChange,True,Sold,9.0,3.0,4245.0,Unknown Listed By,False,False,True,42.282475,-71.089386,Sold 02/27/2024,70 Wildwood St,2126.0,Mattapan,MA,MULTI_FAMILY,6163.0,1015000.0,RECENTLY_SOLD
46,RecentChange,True,Sold,1.0,1.0,811.0,RecentChange,False,False,True,42.37635,-71.05911,Sold 02/27/2024,13 Tremont St #3,2129.0,Charlestown,MA,CONDO,2999.0,777500.0,RECENTLY_SOLD
47,Non Owner Occupied,True,Sold,1.0,1.0,561.0,Unknown Listed By,False,False,True,42.380104,-71.061966,,110 Elm St #1,2129.0,Charlestown,MA,CONDO,2650.0,2895.0,FOR_RENT
48,RecentChange,True,Sold,6.0,3.0,2899.0,RecentChange,False,False,True,42.288734,-71.11548,Sold 02/27/2024,47-49 Catherine St,2131.0,Roslindale,MA,MULTI_FAMILY,8970.0,901000.0,RECENTLY_SOLD
49,RecentChange,True,Sold,9.0,3.0,2295.0,RecentChange,False,False,True,42.29296,-71.07942,Sold 02/27/2024,86 Bernard St #1,2124.0,Dorchester Center,MA,TOWNHOUSE,,550000.0,RECENTLY_SOLD
50,RecentChange,True,Sold,2.0,1.0,823.0,RecentChange,True,False,True,42.34633,-71.170494,Sold 02/26/2024,27 Lake Shore Ct APT 3,2135.0,Brighton,MA,CONDO,2995.0,535000.0,RECENTLY_SOLD
51,RecentChange,True,Sold,9.0,6.0,3612.0,RecentChange,False,False,True,42.30187,-71.06757,Sold 02/26/2024,86 Topliff St,2122.0,Dorchester,MA,MULTI_FAMILY,8970.0,1186000.0,RECENTLY_SOLD
52,RecentChange,True,Sold,3.0,2.0,1238.0,RecentChange,False,False,True,42.26985,-71.10129,Sold 02/26/2024,11 Richmere Rd,2126.0,Boston,MA,SINGLE_FAMILY,3200.0,550000.0,RECENTLY_SOLD
53,RecentChange,True,Sold,4.0,2.0,1416.0,RecentChange,False,False,True,42.28814,-71.119225,Sold 02/26/2024,7 Larch Pl,2131.0,Roslindale,MA,SINGLE_FAMILY,3399.0,583000.0,RECENTLY_SOLD
54,RecentChange,True,Sold,4.0,3.0,2143.0,RecentChange,False,False,True,42.313877,-71.09288,Sold 02/26/2024,13 Ruthven St #1,2121.0,Boston,MA,CONDO,2378.0,700000.0,RECENTLY_SOLD
55,RecentChange,True,Sold,3.0,2.0,1315.0,RecentChange,False,False,True,42.28755,-71.09521,Sold 02/26/2024,22 W Main St #22,2126.0,Mattapan,MA,TOWNHOUSE,1916.0,539900.0,RECENTLY_SOLD
56,RecentChange,True,Sold,3.0,3.0,2125.0,RecentChange,False,False,True,42.290905,-71.05231,Sold 02/26/2024,48 Boutwell St #1,2122.0,Dorchester,MA,CONDO,2999.0,885000.0,RECENTLY_SOLD
57,RecentChange,True,Sold,4.0,2.0,2000.0,RecentChange,False,False,True,42.282417,-71.150444,Sold 02/23/2024,128 Anawan Ave,2132.0,West Roxbury,MA,SINGLE_FAMILY,3599.0,576000.0,RECENTLY_SOLD
58,RecentChange,True,Sold,5.0,5.0,3041.0,RecentChange,True,False,True,42.280766,-71.14882,Sold 02/23/2024,275 Park St,2132.0,West Roxbury,MA,SINGLE_FAMILY,3599.0,1445000.0,RECENTLY_SOLD
59,RecentChange,True,Sold,2.0,1.0,1376.0,RecentChange,False,False,True,42.275562,-71.16368,Sold 02/23/2024,15 Miami Ave,2132.0,West Roxbury,MA,SINGLE_FAMILY,2575.0,550000.0,RECENTLY_SOLD
60,RecentChange,True,Sold,2.0,1.0,1141.0,RecentChange,True,False,True,42.292072,-71.06345,Sold 02/23/2024,23 Cheverus Rd #2,2124.0,Dorchester,MA,CONDO,2650.0,500000.0,RECENTLY_SOLD
61,RecentChange,True,Sold,2.0,1.0,1250.0,RecentChange,True,False,True,42.274746,-71.16154,Sold 02/23/2024,90 Cass St FLOOR 2,2132.0,West Roxbury,MA,CONDO,2038.0,585000.0,RECENTLY_SOLD
